,Date,Open,High,Low,Close,Adj Close,Volume
0,2018-09-24,20.0,20.097,19.929001,19.929001,19.929001,0
1,2018-10-01,19.952,19.952,19.812,19.813999,19.813999,0
2,2018-10-08,19.733999,19.733999,19.032,19.129,19.129,0
3,2018-10-15,19.091999,19.266001,19.047001,19.143999,19.143999,0
4,2018-10-22,19.143,19.143,18.483,18.483,18.483,0
5,2018-10-29,18.315001,18.794001,18.315001,18.747999,18.747999,0
6,2018-11-05,18.895,19.011999,18.860001,18.860001,18.860001,0
7,2018-11-12,18.74,18.933001,18.74,18.933001,18.933001,0
8,2018-11-19,18.854,18.854,18.577999,18.82,18.82,500
9,2018-11-26,18.82,18.82,18.82,18.82,18.82,0
10,2018-12-03,18.82,18.870001,18.549999,18.549999,18.549999,1010
11,2018-12-10,18.549999,18.549999,18.549999,18.549999,18.549999,0
12,2018-12-17,18.549999,18.549999,18.549999,18.549999,18.549999,0
13,2018-12-24,18.549999,18.549999,18.549999,18.549999,18.549999,0
14,2018-12-31,18.549999,18.549999,18.549999,18.549999,18.549999,0
15,2019-01-07,17.83,18.549999,17.83,18.549999,18.549999,2500
16,2019-01-14,18.549999,18.549999,18.549999,18.549999,18.549999,0
17,2019-01-21,18.549999,18.549999,18.549999,18.549999,18.549999,0
18,2019-01-28,18.549999,18.549999,18.549999,18.549999,18.549999,0
19,2019-02-04,18.549999,18.549999,18.549999,18.549999,18.549999,0
20,2019-02-11,18.549999,19.129999,18.549999,19.129999,19.129999,3300
21,2019-02-18,19.129999,19.129999,19.129999,19.129999,19.129999,0
22,2019-02-25,19.52,19.52,19.52,19.52,19.52,100
23,2019-03-04,19.52,19.52,19.52,19.52,19.52,0
24,2019-03-11,19.52,19.52,19.52,19.52,19.52,0
25,2019-03-18,19.52,19.57,19.52,19.57,19.57,250
26,2019-03-25,19.57,19.68,19.57,19.67,19.67,700
27,2019-04-01,19.700001,19.91,19.700001,19.91,19.91,600
28,2019-04-08,19.959999,20.030001,19.860001,19.860001,19.860001,7400
29,2019-04-15,19.860001,20.27,19.860001,20.27,20.27,5000
30,2019-04-22,20.27,20.33,20.200001,20.23,20.23,12100
31,2019-04-29,20.23,20.23,20.120001,20.120001,20.120001,1200
32,2019-05-06,20.120001,20.120001,19.73,19.950001,19.950001,2816
33,2019-05-13,19.950001,19.950001,19.950001,19.950001,19.950001,0
34,2019-05-20,19.950001,19.950001,19.950001,19.950001,19.950001,0
35,2019-05-27,19.950001,19.950001,19.469999,19.469999,19.469999,610
36,2019-06-03,19.469999,19.469999,19.469999,19.469999,19.469999,0
37,2019-06-10,19.469999,19.469999,19.469999,19.469999,19.469999,0
38,2019-06-17,19.469999,19.469999,19.469999,19.469999,19.469999,0
39,2019-06-24,19.469999,19.68,19.469999,19.68,19.68,100
40,2019-07-01,19.68,19.68,19.68,19.68,19.68,0
41,2019-07-08,19.68,19.68,19.68,19.68,19.68,0
42,2019-07-15,19.91,19.91,19.809999,19.82,19.82,2400
43,2019-07-22,19.82,19.82,19.82,19.82,19.82,0
44,2019-07-29,19.82,19.82,19.68,19.74,19.74,3900
45,2019-08-05,19.74,19.74,19.219999,19.4,19.4,4296
46,2019-08-12,19.4,19.4,19.059999,19.059999,19.059999,7100
47,2019-08-19,19.059999,19.35,19.059999,19.35,19.35,100
48,2019-08-26,19.16,19.16,19.16,19.16,19.16,1500
49,2019-09-02,19.16,19.67,19.16,19.67,19.67,300
50,2019-09-09,19.67,19.67,19.67,19.67,19.67,0
51,2019-09-16,19.67,19.67,19.67,19.67,19.67,0
52,2019-09-23,19.67,20.0,19.67,20.0,20.0,100
53,2019-09-30,20.0,20.0,19.610001,19.610001,19.610001,865
54,2019-10-07,19.610001,19.610001,19.58,19.58,19.58,1200
55,2019-10-14,19.58,19.58,19.58,19.58,19.58,0
56,2019-10-21,19.58,19.58,19.540001,19.540001,19.540001,100
57,2019-10-28,19.540001,19.540001,19.540001,19.540001,19.540001,0
58,2019-11-04,19.540001,20.18,19.540001,20.18,20.18,100
59,2019-11-11,20.18,20.25,20.18,20.25,20.25,100
60,2019-11-18,20.309999,20.309999,20.309999,20.309999,20.309999,188
61,2019-11-25,20.309999,20.309999,20.309999,20.309999,20.309999,0
62,2019-12-02,20.309999,20.309999,20.309999,20.309999,20.309999,0
63,2019-12-09,20.309999,20.360001,20.309999,20.360001,20.360001,100
64,2019-12-16,20.360001,20.360001,20.360001,20.360001,20.360001,0
65,2019-12-23,20.360001,20.360001,20.360001,20.360001,20.360001,0
66,2019-12-30,20.049999,20.33,20.040001,20.33,20.33,5500
67,2020-01-06,20.27,20.27,20.27,20.27,20.27,523
68,2020-01-13,20.27,20.5,20.27,20.5,20.5,100
69,2020-01-20,20.5,20.870001,20.5,20.780001,20.780001,200
70,2020-01-27,20.780001,20.780001,20.49,20.49,20.49,545
71,2020-02-03,20.49,20.889999,20.49,20.889999,20.889999,805
72,2020-02-10,20.889999,20.889999,20.889999,20.889999,20.889999,0
73,2020-02-17,20.889999,20.889999,20.67,20.67,20.67,100
74,2020-02-24,20.67,20.67,18.799999,18.870001,18.870001,8100
75,2020-03-02,18.879999,19.360001,18.809999,18.85,18.85,17421
76,2020-03-09,17.280001,17.32,14.7,15.79,15.79,24290
77,2020-03-16,14.77,14.82,13.18,13.5,13.5,32376
78,2020-03-23,12.43,14.79,12.43,14.12,14.12,9108
79,2020-03-30,14.03,14.03,14.03,14.03,14.03,100
80,2020-04-06,14.03,15.64,14.03,15.64,15.64,1237
81,2020-04-13,15.5,15.64,15.5,15.64,15.64,250
82,2020-04-20,15.64,15.64,15.64,15.64,15.64,0
83,2020-04-27,15.64,16.709999,15.64,16.309999,16.309999,1459
84,2020-05-04,16.309999,16.32,16.280001,16.280001,16.280001,300
85,2020-05-11,16.280001,16.280001,15.56,15.56,15.56,500
86,2020-05-18,15.56,15.56,15.56,15.56,15.56,0
87,2020-05-25,15.56,15.56,15.56,15.56,15.56,0
88,2020-06-01,15.56,16.84,15.56,16.84,16.84,219
89,2020-06-08,16.84,16.84,16.459999,16.5,16.5,410
90,2020-06-15,16.5,17.02,16.5,17.02,17.02,100
91,2020-06-22,17.02,17.02,17.02,17.02,17.02,0
92,2020-06-29,17.02,17.02,17.02,17.02,17.02,0
93,2020-07-06,17.02,17.02,16.6,16.6,16.6,105
94,2020-07-13,16.799999,16.799999,16.780001,16.780001,16.780001,6000
95,2020-07-20,16.780001,17.299999,16.780001,17.299999,17.299999,100
96,2020-07-27,17.34,17.34,17.34,17.34,17.34,2000
97,2020-08-03,17.34,17.34,17.34,17.34,17.34,0
98,2020-08-10,17.34,17.91,17.34,17.85,17.85,4500
99,2020-08-17,17.85,17.85,17.85,17.85,17.85,0
100,2020-08-24,17.85,17.85,17.85,17.85,17.85,0
101,2020-08-31,17.879999,17.879999,17.700001,17.700001,17.700001,402
102,2020-09-07,17.700001,17.700001,17.540001,17.540001,17.540001,100
103,2020-09-14,17.540001,17.540001,17.540001,17.540001,17.540001,0
104,2020-09-21,17.030001,17.129999,17.030001,17.129999,17.129999,200
105,2020-09-28,17.129999,17.18,17.129999,17.18,17.18,100
106,2020-10-05,17.290001,17.59,17.290001,17.57,17.57,1791
107,2020-10-12,17.57,17.57,17.450001,17.450001,17.450001,100
108,2020-10-19,17.450001,17.450001,17.450001,17.450001,17.450001,0
109,2020-10-26,17.299999,17.299999,17.24,17.24,17.24,1097
110,2020-11-02,17.24,17.530001,17.18,17.530001,17.530001,1700
111,2020-11-09,17.870001,18.0,17.870001,18.0,18.0,1800
112,2020-11-16,18.0,18.23,18.0,18.15,18.15,600
113,2020-11-23,18.370001,18.68,18.370001,18.68,18.68,350
114,2020-11-30,18.68,18.68,18.57,18.57,18.57,100
115,2020-12-07,18.57,19.049999,18.57,19.049999,19.049999,908
116,2020-12-14,19.049999,19.17,19.049999,19.07,19.07,7625
117,2020-12-21,19.07,19.07,19.07,19.07,19.07,0
118,2020-12-28,19.07,19.07,19.07,19.07,19.07,0
119,2021-01-04,19.07,19.42,19.07,19.370001,19.370001,300
120,2021-01-11,19.26,19.43,19.15,19.23,19.23,5201
121,2021-01-18,19.23,19.299999,19.23,19.299999,19.299999,800
122,2021-01-25,19.299999,19.299999,18.99,18.99,18.99,495
123,2021-02-01,18.99,19.360001,18.99,19.360001,19.360001,1600
124,2021-02-08,19.709999,19.799999,19.690001,19.799999,19.799999,8498
125,2021-02-15,19.799999,19.91,19.700001,19.700001,19.700001,909
126,2021-02-22,19.860001,19.93,19.809999,19.93,19.93,400
127,2021-03-01,19.93,19.93,19.93,19.93,19.93,0
128,2021-03-08,20.16,20.75,20.1,20.65,20.65,1170
129,2021-03-15,20.65,20.65,20.65,20.65,20.65,0
130,2021-03-22,20.93,20.93,20.84,20.84,20.84,1500
131,2021-03-29,20.84,20.922001,20.629999,20.922001,20.922001,300
132,2021-03-31,20.629999,20.93,20.84,20.629999,20.629999,4
